Data,Abreu e Lima,Araçoiaba (Granja Cristo Redentor),Cabo,Cabo (Barragem de Gurjaú),Cabo (Barragem de Suape),Camaragibe,Goiana (Itapirema - IPA),Goiana (Usina Maravilha),Goiana - PCD,Igarassu,Igarassu (Bar.Catucá),Igarassu (Usina São José),Ipojuca,Itamaracá,Itapissuma,Jaboatão dos Guararapes,Jaboatão dos Guararapes (Bar.Duas Unas),Olinda,Olinda (Academia Santa Gertrudes),Olinda (Alto da Bondade),Paulista,Recife (Alto da Brasileira),Recife (Lamepe/Itep),Recife (Santo Amaro),Recife (Várzea),Recife - PCD,São Lourenço da Mata (Tapacurá),Cabo (Pirapama),Ipojuca (Porto de Galinhas - IPA),Ipojuca (Suape) - PCD,Jaboatão (Cidade da Copa) - PCD,Moreno,Recife (Codecipe / Santo Amaro),Olinda (Jardim Atlântico)
2010-03-06,0.0,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-08,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-09,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.2,0.0,2.2,0.0,0.0,,,,,,,
2010-03-10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-13,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-15,0.0,,4.2,32.5,0.0,2.7,7.2,1.2,7.3,0.0,0.0,6.0,10.4,0.0,0.4,0.2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.3,0.0,0.3,1.2,,,,,,,
2010-03-16,0.0,,0.0,38.0,12.0,1.1,0.0,0.0,0.3,0.0,0.0,0.0,25.0,0.0,0.0,0.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12.4,,,,,,,
2010-03-17,0.0,,0.0,0.0,0.0,0.0,7.2,0.0,0.8,0.0,0.0,0.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,9.9,4.0,0.0,0.0,,,,,,,
2010-03-18,18.6,,15.0,34.0,14.0,24.2,12.0,9.2,11.8,18.0,11.2,9.2,13.0,0.0,15.7,17.8,20.0,37.3,36.9,30.5,24.8,37.2,27.7,25.4,26.0,13.5,6.8,,,,,,,
2010-03-19,0.2,,17.0,44.0,4.0,1.9,0.0,0.0,0.0,4.1,0.0,0.0,0.0,6.0,0.0,0.5,5.0,0.0,9.5,12.6,0.7,5.3,5.5,65.5,6.2,5.3,0.0,,,,,,,
2010-03-20,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,14.3,0.0,0.0,4.2,10.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-21,0.0,,0.0,0.0,0.0,0.0,0.0,0.7,4.0,5.3,0.0,0.0,7.6,9.0,8.9,0.0,13.0,0.2,3.9,0.3,0.0,0.0,3.2,0.0,3.6,0.5,5.2,,,,,,,
2010-03-22,0.0,,0.0,0.0,7.6,0.0,0.0,0.0,2.0,4.5,0.0,0.0,3.4,0.3,4.9,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-23,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.0,0.8,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,,,,,,,
2010-03-24,2.1,,20.0,20.0,4.8,5.7,14.2,5.5,13.8,14.4,4.7,5.8,7.8,11.3,18.3,1.3,12.0,8.6,8.0,16.3,19.8,17.8,8.0,14.5,8.3,6.0,11.2,,,,,,,
2010-03-25,39.0,,16.1,25.0,11.4,13.0,10.6,28.6,10.8,13.4,11.2,7.0,28.0,77.2,31.7,40.5,12.0,23.9,13.0,19.4,10.8,26.3,9.0,0.4,8.3,9.0,12.8,,,,,,,
2010-03-26,2.8,,5.1,8.0,16.0,6.8,1.0,22.1,0.5,7.8,13.2,8.0,35.0,10.2,2.6,17.6,7.0,6.9,0.6,1.9,1.1,9.2,23.3,11.3,22.1,21.0,30.6,,,,,,,
2010-03-27,3.6,,0.0,0.0,7.0,0.0,0.8,2.8,0.0,4.9,40.0,15.0,3.8,0.0,2.4,0.3,2.0,8.1,5.9,3.2,1.1,7.4,0.0,0.0,0.0,5.0,5.2,,,,,,,
2010-03-28,0.0,,0.0,12.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-29,0.0,,10.2,12.0,0.0,1.5,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-03-30,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-04-01,1.0,,0.0,26.0,12.2,0.0,2.4,0.0,3.3,30.0,2.8,9.6,5.2,19.4,21.0,0.7,13.0,0.8,5.3,0.0,19.3,0.0,20.0,5.1,23.0,23.0,0.8,,,,,,,
2010-04-02,24.0,,0.0,13.5,4.0,13.9,3.2,5.1,3.3,3.6,2.8,0.2,11.2,0.0,1.5,6.4,20.0,4.8,9.3,7.8,4.3,12.8,8.0,39.2,7.0,10.8,3.6,,,,,,,
2010-04-03,1.4,,0.0,20.0,8.2,4.2,1.6,0.0,1.3,2.3,0.0,0.6,7.6,0.0,0.0,6.7,3.0,0.0,0.9,0.0,0.0,0.0,0.0,0.2,0.0,2.0,1.4,,,,,,,
2010-04-04,9.2,,0.0,14.0,5.8,0.0,2.2,4.0,6.8,0.7,2.8,5.4,2.2,5.7,4.5,31.0,7.0,7.9,1.0,8.4,5.4,12.4,8.1,16.7,7.6,9.3,1.8,,,,,,,
2010-04-05,0.0,,17.0,0.0,0.0,1.7,17.2,0.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,12.5,0.0,0.0,0.0,10.0,0.0,11.0,6.3,0.0,,,,,,,
2010-04-06,0.0,,0.0,17.0,0.0,5.3,13.0,23.7,12.0,10.1,13.7,6.2,1.4,0.0,1.6,0.1,15.0,0.0,13.9,0.6,0.0,3.3,4.8,0.0,5.0,1.0,3.2,,,,,,,
2010-04-07,1.2,,0.0,0.0,0.0,0.0,0.0,2.9,0.0,6.1,3.0,0.0,0.0,8.6,1.5,0.0,3.0,6.9,0.2,4.5,2.8,3.3,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-04-08,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.1,0.0,0.0,0.0,7.5,0.0,8.2,0.0,0.0,,,,,,,
2010-04-09,1.0,,8.0,44.0,31.4,17.5,9.0,6.3,8.5,24.1,10.8,13.4,65.0,1.3,17.3,31.7,15.0,11.3,14.8,6.8,12.9,6.8,1.8,0.0,2.0,14.8,15.4,,,,,,,
2010-04-10,12.0,,0.0,0.0,1.2,0.0,8.8,7.5,10.3,0.3,0.5,0.0,1.4,0.0,9.3,2.2,5.0,2.2,5.2,0.4,1.9,3.0,50.0,0.0,47.0,9.0,0.0,,,,,,,
2010-04-11,16.4,,0.0,0.0,44.6,25.6,2.4,4.6,0.3,0.1,0.0,4.2,25.0,10.7,0.0,48.0,0.0,48.5,40.8,42.5,22.8,17.0,4.5,32.7,5.8,10.5,1.2,,,,,,,
2010-04-12,19.6,,17.0,82.5,6.0,0.0,10.2,0.0,0.0,11.2,13.4,4.6,7.4,8.2,3.5,2.5,15.0,43.8,38.0,33.8,16.8,20.5,27.0,22.5,28.0,10.5,5.8,,,,,,,
2010-04-13,0.0,,8.2,40.0,19.4,0.0,0.2,1.7,0.0,3.4,0.0,0.0,17.4,1.2,0.9,0.2,5.0,0.0,2.5,0.0,1.2,1.0,0.0,1.6,0.0,0.0,0.0,,,,,,,
2010-04-14,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-04-15,0.4,,3.0,0.0,0.0,3.8,3.4,0.3,3.0,0.0,54.4,13.6,0.0,12.2,12.1,0.1,3.0,0.2,0.0,0.3,0.0,0.0,10.0,0.0,10.3,8.0,0.0,,,,,,,
2010-04-16,8.2,,4.1,11.8,0.4,19.8,2.0,0.0,2.3,14.1,0.0,0.4,6.4,0.0,0.0,9.7,64.2,14.1,5.1,12.2,6.7,8.1,9.0,23.0,8.0,10.5,28.6,,,,,,,
2010-04-17,4.8,,7.0,56.0,4.5,8.9,4.0,2.2,1.3,5.0,11.0,3.4,16.2,2.2,1.6,8.9,10.0,6.1,8.5,8.7,13.7,9.0,12.0,7.5,11.2,8.0,6.8,,,,,,,
2010-04-18,54.0,,8.2,,81.6,32.5,10.6,19.6,50.8,19.0,23.0,18.4,53.6,30.3,26.8,68.2,60.0,62.2,51.0,68.2,28.1,53.4,50.0,46.0,47.0,46.0,55.2,,,,,,,
